config,seed,study,kind,input,cell_policy,digit_policy,backtrack,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_resets,avg_puzzle_calls,seq_forwards_p50,seq_forwards_p90,unsound_rate,conflict_precision,conflict_recall,n_negations,unsound_negation_rate,conflict_depth_mean
s1_base_1k_minent_rankk,range,S1,eval,base_1k,min_entropy,rank_k,root,97,"[36, 41]","[0, 0]","[56, 57]","[0.387097, 0.42268]","[8047, 8233]","[200.805, 223.528]","[8527.34, 8814.31]","[627.67, 663.075]","[64000, 64000]","[64000, 64000]","[0.00167312, 0.00209566]","[0.994351, 0.995555]","[0.258782, 0.291756]",0,"[0, 0]","[0, 0]"
s1_base_1k_maxent_softmax,0,S1,eval,base_1k,max_entropy,softmax,root,96,40,1,55,0.4166666666666667,8133,203.325,7216.895833333333,645.6666666666666,64000.0,64000.0,0.008267232529800038,0.9923227033783569,0.21767259461751054,0,0.0,0.0
s1_base_1k_maxent_softmax,1,S1,eval,base_1k,max_entropy,softmax,root,107,52,0,55,0.48598130841121495,8580,165.0,6690.252336448598,599.7476635514018,64000.0,64000.0,0.010434580732788523,0.992290359666805,0.2180746356816471,0,0.0,0.0
s1_base_1k_maxent_softmax,mean,S1,eval,base_1k,max_entropy,softmax,root,96,46.0,0.5,55.0,0.4513239875389408,8356.5,184.1625,6953.574084890965,622.7071651090342,64000.0,64000.0,0.00935090663129428,0.992306531522581,0.21787361514957881,0,0.0,0.0
s1_base_1k_maxent_softmax,range,S1,eval,base_1k,max_entropy,softmax,root,96,"[40, 52]","[0, 1]","[55, 55]","[0.416667, 0.485981]","[8133, 8580]","[165, 203.325]","[6690.25, 7216.9]","[599.748, 645.667]","[64000, 64000]","[64000, 64000]","[0.00826723, 0.0104346]","[0.99229, 0.992323]","[0.217673, 0.218075]",0,"[0, 0]","[0, 0]"
s1_base_1k_uniform_argmax,0,S1,eval,base_1k,uniform,argmax,root,200,200,0,0,1.0,1881,9.405,359.98,69.97,1458.5,10001.0,0.03855084285308387,0.9959164398022112,0.0953917872223804,0,0.0,0.0
s1_base_1k_uniform_argmax,1,S1,eval,base_1k,uniform,argmax,root,200,199,0,1,0.995,1844,9.266331658291458,330.15,64.03,1119.0,9132.699999999997,0.04377907002074463,0.996304709980312,0.09592592592592593,0,0.0,0.0
s1_base_1k_uniform_argmax,mean,S1,eval,base_1k,uniform,argmax,root,200,199.5,0.0,0.5,0.9975,1862.5,9.335665829145729,345.065,67.0,1288.75,9566.849999999999,0.04116495643691425,0.9961105748912615,0.09565885657415316,0,0.0,0.0
s1_base_1k_uniform_argmax,range,S1,eval,base_1k,uniform,argmax,root,200,"[199, 200]","[0, 0]","[0, 1]","[0.995, 1]","[1844, 1881]","[9.26633, 9.405]","[330.15, 359.98]","[64.03, 69.97]","[1119, 1458.5]","[9132.7, 10001]","[0.0385508, 0.0437791]","[0.995916, 0.996305]","[0.0953918, 0.0959259]",0,"[0, 0]","[0, 0]"
s1_base_1k_uniform_rankk,0,S1,eval,base_1k,uniform,rank_k,root,106,49,0,57,0.46226415094339623,8759,178.75510204081633,10203.32075471698,629.3867924528302,64000.0,64000.0,0.0018587272640075907,0.9918422785034838,0.34729624860908814,0,0.0,0.0
s1_base_1k_uniform_rankk,1,S1,eval,base_1k,uniform,rank_k,root,106,49,0,57,0.46226415094339623,8853,180.6734693877551,10228.650943396226,632.2358490566038,64000.0,64000.0,0.002365390603379664,0.9915839433629363,0.3470736507182223,0,0.0,0.0
s1_base_1k_uniform_rankk,mean,S1,eval,base_1k,uniform,rank_k,root,106,49.0,0.0,57.0,0.46226415094339623,8806.0,179.71428571428572,10215.985849056604,630.8113207547169,64000.0,64000.0,0.0021120589336936276,0.99171311093321,0.3471849496636552,0,0.0,0.0
s1_base_1k_uniform_rankk,range,S1,eval,base_1k,uniform,rank_k,root,106,"[49, 49]","[0, 0]","[57, 57]","[0.462264, 0.462264]","[8759, 8853]","[178.755, 180.673]","[10203.3, 10228.7]","[629.387, 632.236]","[64000, 64000]","[64000, 64000]","[0.00185873, 0.00236539]","[0.991584, 0.991842]","[0.347074, 0.347296]",0,"[0, 0]","[0, 0]"
s2_trainP0_evalP0,0,S2,eval,base_1k,uniform,softmax,root,200,152,0,48,0.76,10706,70.4342105263158,3392.92,405.88,13157.0,64000.0,0.015081006724268287,0.9945828372021739,0.1599287971027852,0,0.0,0.0
s2_trainP0_evalP0,1,S2,eval,base_1k,uniform,softmax,root,200,169,1,30,0.845,8065,47.72189349112426,2503.08,300.545,6878.0,64000.0,0.01953136207045865,0.9946965338702718,0.15872799827361814,0,0.0,0.0
s2_trainP0_evalP0,mean,S2,eval,base_1k,uniform,softmax,root,200,160.5,0.5,39.0,0.8025,9385.5,59.07805200872003,2948.0,353.2125,10017.5,64000.0,0.017306184397363467,0.9946396855362228,0.15932839768820167,0,0.0,0.0
s2_trainP0_evalP0,range,S2,eval,base_1k,uniform,softmax,root,200,"[152, 169]","[0, 1]","[30, 48]","[0.76, 0.845]","[8065, 10706]","[47.7219, 70.4342]","[2503.08, 3392.92]","[300.545, 405.88]","[6878, 13157]","[64000, 64000]","[0.015081, 0.0195314]","[0.994583, 0.994697]","[0.158728, 0.159929]",0,"[0, 0]","[0, 0]"
s2_trainP0_evalPstar,0,S2,eval,base_1k,uniform,argmax,root,200,197,2,1,0.985,2379,12.076142131979696,448.61,88.065,1443.0,16296.9,0.03930208827549033,0.9959653150843717,0.09408187523623121,0,0.0,0.0
s2_trainP0_evalPstar,1,S2,eval,base_1k,uniform,argmax,root,200,198,0,2,0.99,1915,9.671717171717171,338.58,66.58,948.0,8964.499999999998,0.045502250281126776,0.9965739263984879,0.09411521876168003,0,0.0,0.0
s2_trainP0_evalPstar,mean,S2,eval,base_1k,uniform,argmax,root,200,197.5,1.0,1.5,0.9875,2147.0,10.873929651848433,393.595,77.32249999999999,1195.5,12630.699999999999,0.04240216927830855,0.9962696207414298,0.09409854699895562,0,0.0,0.0
