config,seed,study,num_layers,dim,n_loops,steps,supervise,softmax_loss_weight,conflict_loss_weight,bce_pos_mult,bce_neg_mult,approx_params,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_rounds_solved,avg_resets,unsound_rate,conflict_precision,conflict_recall,train_post_compile_secs
d1_wide,range,D1-C4,4,256,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,"[280, 354]","[0, 0]","[646, 720]","[0.28, 0.354]","[92184, 97883]","[260.407, 349.582]",232.8405303955078,5460.5732421875,"[0.00267705, 0.00421885]","[0.998274, 0.999435]","[0.117672, 0.133395]","[470.865, 857.188]"
d1_untied16_max,0,D1-C4,16,128,1,32000,all,0.2,0.1,4.0,0.5,262144,1000,999,0,1,0.999,4747,4.751751751751752,35.63964080810547,319.6570129394531,0.0009016681019995067,0.9938990067728288,0.17509433881790448,5850.320469716993
d1_untied16_max,1,D1-C4,16,128,1,32000,all,0.2,0.1,4.0,0.5,262144,1000,998,0,2,0.998,4108,4.11623246492986,29.299598693847656,270.8210144042969,0.0017585201516815876,0.997995072998539,0.17371366695026685,4440.500471351006
d1_untied16_max,mean,D1-C4,16,128,1,32000,all,0.2,0.1,4.0,0.5,262144,1000,998.5,0.0,1.5,0.9984999999999999,4427.5,4.4339921083408065,35.63964080810547,319.6570129394531,0.0013300941268405472,0.9959470398856839,0.17440400288408567,5145.410470534
d1_untied16_max,range,D1-C4,16,128,1,32000,all,0.2,0.1,4.0,0.5,262144,1000,"[998, 999]","[0, 0]","[1, 2]","[0.998, 0.999]","[4108, 4747]","[4.11623, 4.75175]",35.63964080810547,319.6570129394531,"[0.000901668, 0.00175852]","[0.993899, 0.997995]","[0.173714, 0.175094]","[4440.5, 5850.32]"
d2_final_only,0,D2,4,128,16,2000,final,0.2,0.1,4.0,0.5,65536,1000,942,1,57,0.942,25708,27.290870488322717,154.8897247314453,2027.110107421875,0.009970486406710282,0.9851105289165276,0.20005227662926753,451.72285922299966
d2_final_only,1,D2,4,128,16,2000,final,0.2,0.1,4.0,0.5,65536,1000,967,0,33,0.967,20270,20.9617373319545,126.87073516845703,1430.6380615234375,0.012961769698709732,0.9896598199438678,0.1811027802109222,457.3577480190004
d2_final_only,2,D2,4,128,16,2000,final,0.2,0.1,4.0,0.5,65536,1000,973,1,26,0.973,17949,18.447070914696813,117.264892578125,1237.0850830078125,0.01634360905728036,0.9905709392499086,0.17189394191312443,376.27623654300004
d2_final_only,mean,D2,4,128,16,2000,final,0.2,0.1,4.0,0.5,65536,1000,960.6666666666666,0.6666666666666666,38.666666666666664,0.9606666666666666,21309.0,22.233226244991343,154.8897247314453,2027.110107421875,0.013091955054233459,0.9884470960367681,0.18434966625110472,428.4522812616667
d2_final_only,range,D2,4,128,16,2000,final,0.2,0.1,4.0,0.5,65536,1000,"[942, 973]","[0, 1]","[26, 57]","[0.942, 0.973]","[17949, 25708]","[18.4471, 27.2909]",154.8897247314453,2027.110107421875,"[0.00997049, 0.0163436]","[0.985111, 0.990571]","[0.171894, 0.200052]","[376.276, 457.358]"
d3_ce0,0,D3,4,128,16,2000,all,0.0,0.1,4.0,0.5,65536,76,19,0,57,0.25,8000,421.05263157894734,54.3684196472168,663.97900390625,0.002775333978030077,0.9974437450790588,0.23174102283570103,458.6424700409996
d3_ce0,1,D3,4,128,16,2000,all,0.0,0.1,4.0,0.5,65536,72,16,0,56,0.2222222222222222,7226,451.625,27.125,589.18603515625,0.003192425069840621,0.9985019222221091,0.2073492968206669,492.8839002999998
d3_ce0,2,D3,4,128,16,2000,all,0.0,0.1,4.0,0.5,65536,77,20,0,57,0.2597402597402597,8002,400.1,144.75,554.5840454101562,0.003281706077853304,0.9991475142741796,0.17754698049233078,418.00768057800013
d3_ce0,mean,D3,4,128,16,2000,all,0.0,0.1,4.0,0.5,65536,76,18.333333333333332,0.0,56.666666666666664,0.24398749398749398,7742.666666666667,424.2592105263158,54.3684196472168,663.97900390625,0.0030831550419080007,0.9983643938584491,0.2055457667162329,456.5113503063332
