config,seed,study,input,effective_n_loops,eval_n_loops_flag,deduce_passes,threshold,cls_threshold,augment,n_eval,correct,wrong,timeouts,accuracy,total_calls,calls_per_solve,avg_resets,unsound_rate,conflict_precision,conflict_recall
o1_xfer_Lt2_Le16,mean,O1-transfer,d1_L2,16,16,1,0.1,0.6,True,198,133.5,16.5,49.0,0.6703787878787879,8840.5,68.2689198486412,10324.259141414143,0.05401818252779735,0.9855064018887139,0.5151017021427677
o1_xfer_Lt2_Le16,range,O1-transfer,d1_L2,16,16,1,0.1,0.6,True,198,"[114, 153]","[3, 30]","[44, 54]","[0.575758, 0.765]","[8300, 9381]","[54.2484, 82.2895]","[8836.19, 11812.3]","[0.0252557, 0.0827807]","[0.974202, 0.996811]","[0.504321, 0.525883]"
o1_xfer_Lt2_Le32,0,O1-transfer,d1_L2,32,32,1,0.1,0.6,True,200,59,141,0,0.295,62,1.0508474576271187,34.545,0.05764136901572988,0.9939932097153303,0.3967338429464906
o1_xfer_Lt2_Le32,1,O1-transfer,d1_L2,32,32,1,0.1,0.6,True,200,118,74,8,0.59,2485,21.059322033898304,2826.24,0.10494478366572119,0.9997465482493476,0.5366321863345296
o1_xfer_Lt2_Le32,mean,O1-transfer,d1_L2,32,32,1,0.1,0.6,True,200,88.5,107.5,4.0,0.4425,1273.5,11.055084745762711,1430.3925,0.08129307634072554,0.9968698789823389,0.4666830146405101
o1_xfer_Lt2_Le32,range,O1-transfer,d1_L2,32,32,1,0.1,0.6,True,200,"[59, 118]","[74, 141]","[0, 8]","[0.295, 0.59]","[62, 2485]","[1.05085, 21.0593]","[34.545, 2826.24]","[0.0576414, 0.104945]","[0.993993, 0.999747]","[0.396734, 0.536632]"
o1_xfer_Lt4_Le1,0,O1-transfer,d1_L4,1,1,1,0.1,0.6,True,56,0,0,56,0.0,7000,,7147.321428571428,0.0031633928044112764,0.9919900062460962,0.13405913074482698
o1_xfer_Lt4_Le1,1,O1-transfer,d1_L4,1,1,1,0.1,0.6,True,56,0,0,56,0.0,7000,,6218.982142857143,0.005328923832508644,0.9859761157516015,0.11283966520651842
o1_xfer_Lt4_Le1,mean,O1-transfer,d1_L4,1,1,1,0.1,0.6,True,56,0.0,0.0,56.0,0.0,7000.0,,6683.151785714286,0.00424615831845996,0.9889830609988488,0.1234493979756727
o1_xfer_Lt4_Le1,range,O1-transfer,d1_L4,1,1,1,0.1,0.6,True,56,"[0, 0]","[0, 0]","[56, 56]","[0, 0]","[7000, 7000]",,"[6218.98, 7147.32]","[0.00316339, 0.00532892]","[0.985976, 0.99199]","[0.11284, 0.134059]"
