config,train_orders,train_max_order,test_order,is_ood,seed,correct,wrong,timeout,calls,n,accuracy,calls_per_solve
e4_varied_leq5_cg_aug,"4,5",5,8,1,max,27,4,40,42096,71,0.52,1559.1111
e4_varied_leq5_cg_aug,"4,5",5,9,1,0,5,2,22,22633,29,0.172414,4526.6
e4_varied_leq5_cg_aug,"4,5",5,9,1,1,7,1,19,19212,27,0.259259,2744.5714
e4_varied_leq5_cg_aug,"4,5",5,9,1,2,7,2,19,19455,28,0.25,2779.2857
e4_varied_leq5_cg_aug,"4,5",5,9,1,mean,19,5,60,61300,84,0.227224,3226.3158
e4_varied_leq5_cg_aug,"4,5",5,9,1,min,19,5,60,61300,84,0.172414,3226.3158
e4_varied_leq5_cg_aug,"4,5",5,9,1,max,19,5,60,61300,84,0.259259,3226.3158
e4_varied_leq5_cg_aug,"4,5",5,10,1,0,1,0,19,19008,20,0.05,19008.0
e4_varied_leq5_cg_aug,"4,5",5,10,1,1,0,0,19,19000,19,0.0,0.0
e4_varied_leq5_cg_aug,"4,5",5,10,1,2,0,0,19,19000,19,0.0,0.0
e4_varied_leq5_cg_aug,"4,5",5,10,1,mean,1,0,57,57008,58,0.016667,57008.0
e4_varied_leq5_cg_aug,"4,5",5,10,1,min,1,0,57,57008,58,0.0,57008.0
e4_varied_leq5_cg_aug,"4,5",5,10,1,max,1,0,57,57008,58,0.05,57008.0
e4_varied_leq6_cg_off,"4,5,6",6,7,1,0,49,1,0,57,50,0.98,1.1633
e4_varied_leq6_cg_off,"4,5,6",6,7,1,1,50,0,0,50,50,1.0,1.0
e4_varied_leq6_cg_off,"4,5,6",6,7,1,2,48,2,0,52,50,0.96,1.0833
e4_varied_leq6_cg_off,"4,5,6",6,7,1,mean,147,3,0,159,150,0.98,1.0816
e4_varied_leq6_cg_off,"4,5,6",6,7,1,min,147,3,0,159,150,0.96,1.0816
e4_varied_leq6_cg_off,"4,5,6",6,7,1,max,147,3,0,159,150,1.0,1.0816
e4_varied_leq6_cg_off,"4,5,6",6,8,1,0,42,3,1,1062,46,0.913043,25.2857
e4_varied_leq6_cg_off,"4,5,6",6,8,1,1,39,6,1,1221,46,0.847826,31.3077
e4_varied_leq6_cg_off,"4,5,6",6,8,1,2,41,5,0,57,46,0.891304,1.3902
e4_varied_leq6_cg_off,"4,5,6",6,8,1,mean,122,14,2,2340,138,0.884058,19.1803
e4_varied_leq6_cg_off,"4,5,6",6,8,1,min,122,14,2,2340,138,0.847826,19.1803
e4_varied_leq6_cg_off,"4,5,6",6,8,1,max,122,14,2,2340,138,0.913043,19.1803
e4_varied_leq6_cg_off,"4,5,6",6,9,1,0,47,4,2,2092,53,0.886792,44.5106
e4_varied_leq6_cg_off,"4,5,6",6,9,1,1,41,8,4,4060,53,0.773585,99.0244
e4_varied_leq6_cg_off,"4,5,6",6,9,1,2,48,5,0,141,53,0.90566,2.9375
e4_varied_leq6_cg_off,"4,5,6",6,9,1,mean,136,17,6,6293,159,0.855346,46.2721
e4_varied_leq6_cg_off,"4,5,6",6,9,1,min,136,17,6,6293,159,0.773585,46.2721
e4_varied_leq6_cg_off,"4,5,6",6,9,1,max,136,17,6,6293,159,0.90566,46.2721
e4_varied_leq6_cg_off,"4,5,6",6,10,1,0,33,13,5,5466,51,0.647059,165.6364
e4_varied_leq6_cg_off,"4,5,6",6,10,1,1,24,13,14,14938,51,0.470588,622.4167
e4_varied_leq6_cg_off,"4,5,6",6,10,1,2,34,15,2,4080,51,0.666667,120.0
e4_varied_leq6_cg_off,"4,5,6",6,10,1,mean,91,41,21,24484,153,0.594771,269.0549
e4_varied_leq6_cg_off,"4,5,6",6,10,1,min,91,41,21,24484,153,0.470588,269.0549
e4_varied_leq6_cg_off,"4,5,6",6,10,1,max,91,41,21,24484,153,0.666667,269.0549
e4_varied_leq6_cg_aug,"4,5,6",6,7,1,0,48,1,1,1052,50,0.96,21.9167
e4_varied_leq6_cg_aug,"4,5,6",6,7,1,1,48,2,0,451,50,0.96,9.3958
e4_varied_leq6_cg_aug,"4,5,6",6,7,1,2,47,2,1,1059,50,0.94,22.5319
e4_varied_leq6_cg_aug,"4,5,6",6,7,1,mean,143,5,2,2562,150,0.953333,17.9161
e4_varied_leq6_cg_aug,"4,5,6",6,7,1,min,143,5,2,2562,150,0.94,17.9161
e4_varied_leq6_cg_aug,"4,5,6",6,7,1,max,143,5,2,2562,150,0.96,17.9161
e4_varied_leq6_cg_aug,"4,5,6",6,8,1,0,37,7,2,2334,46,0.804348,63.0811
e4_varied_leq6_cg_aug,"4,5,6",6,8,1,1,38,6,2,2091,46,0.826087,55.0263
e4_varied_leq6_cg_aug,"4,5,6",6,8,1,2,38,5,3,3100,46,0.826087,81.5789
e4_varied_leq6_cg_aug,"4,5,6",6,8,1,mean,113,18,7,7525,138,0.818841,66.5929
e4_varied_leq6_cg_aug,"4,5,6",6,8,1,min,113,18,7,7525,138,0.804348,66.5929
e4_varied_leq6_cg_aug,"4,5,6",6,8,1,max,113,18,7,7525,138,0.826087,66.5929
e4_varied_leq6_cg_aug,"4,5,6",6,9,1,0,41,2,10,11450,53,0.773585,279.2683
e4_varied_leq6_cg_aug,"4,5,6",6,9,1,1,37,4,12,12233,53,0.698113,330.6216
e4_varied_leq6_cg_aug,"4,5,6",6,9,1,2,44,2,7,8455,53,0.830189,192.1591
e4_varied_leq6_cg_aug,"4,5,6",6,9,1,mean,122,8,29,32138,159,0.767296,263.4262
e4_varied_leq6_cg_aug,"4,5,6",6,9,1,min,122,8,29,32138,159,0.698113,263.4262
e4_varied_leq6_cg_aug,"4,5,6",6,9,1,max,122,8,29,32138,159,0.830189,263.4262
e4_varied_leq6_cg_aug,"4,5,6",6,10,1,0,17,10,24,24397,51,0.333333,1435.1176
e4_varied_leq6_cg_aug,"4,5,6",6,10,1,1,16,15,20,22649,51,0.313725,1415.5625
e4_varied_leq6_cg_aug,"4,5,6",6,10,1,2,22,11,18,18641,51,0.431373,847.3182
e4_varied_leq6_cg_aug,"4,5,6",6,10,1,mean,55,36,62,65687,153,0.359477,1194.3091
e4_varied_leq6_cg_aug,"4,5,6",6,10,1,min,55,36,62,65687,153,0.313725,1194.3091
e4_varied_leq6_cg_aug,"4,5,6",6,10,1,max,55,36,62,65687,153,0.431373,1194.3091
e4_varied_shift95_cg_off,"4,5,6,7,8",8,4,0,0,38,0,0,38,38,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,4,0,1,38,0,0,38,38,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,4,0,2,38,0,0,38,38,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,4,0,mean,114,0,0,114,114,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,4,0,min,114,0,0,114,114,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,4,0,max,114,0,0,114,114,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,5,0,0,29,0,0,29,29,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,5,0,1,29,0,0,29,29,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,5,0,2,29,0,0,29,29,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,5,0,mean,87,0,0,87,87,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,5,0,min,87,0,0,87,87,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,5,0,max,87,0,0,87,87,1.0,1.0
e4_varied_shift95_cg_off,"4,5,6,7,8",8,6,0,0,36,3,0,39,39,0.923077,1.0833
e4_varied_shift95_cg_off,"4,5,6,7,8",8,6,0,1,37,2,0,40,39,0.948718,1.0811
e4_varied_shift95_cg_off,"4,5,6,7,8",8,6,0,2,38,1,0,41,39,0.974359,1.0789
e4_varied_shift95_cg_off,"4,5,6,7,8",8,6,0,mean,111,6,0,120,117,0.948718,1.0811
e4_varied_shift95_cg_off,"4,5,6,7,8",8,6,0,min,111,6,0,120,117,0.923077,1.0811
e4_varied_shift95_cg_off,"4,5,6,7,8",8,6,0,max,111,6,0,120,117,0.974359,1.0811
e4_varied_shift95_cg_off,"4,5,6,7,8",8,7,0,0,56,1,0,60,57,0.982456,1.0714
e4_varied_shift95_cg_off,"4,5,6,7,8",8,7,0,1,51,6,0,63,57,0.894737,1.2353
e4_varied_shift95_cg_off,"4,5,6,7,8",8,7,0,2,53,4,0,62,57,0.929825,1.1698
e4_varied_shift95_cg_off,"4,5,6,7,8",8,7,0,mean,160,11,0,185,171,0.935673,1.1562
e4_varied_shift95_cg_off,"4,5,6,7,8",8,7,0,min,160,11,0,185,171,0.894737,1.1562
e4_varied_shift95_cg_off,"4,5,6,7,8",8,7,0,max,160,11,0,185,171,0.982456,1.1562
e4_varied_shift95_cg_off,"4,5,6,7,8",8,8,0,0,34,3,0,40,37,0.918919,1.1765
e4_varied_shift95_cg_off,"4,5,6,7,8",8,8,0,1,27,10,0,66,37,0.72973,2.4444
e4_varied_shift95_cg_off,"4,5,6,7,8",8,8,0,2,30,7,0,99,37,0.810811,3.3
